tweeter_tweetid,tweet,sentiment
SPotomAron_609881622310219777,@3lchy szóval te nem válogatod szét a krumplihéjaspelenkától!? :((( #ejj,2
tocolade_561099024145866752,"Tegnap elkezdtem nézni az Imitation Game-t, álmos voltam, a film meg relatív unalmas, a felénél abbahagytam.",2
rosszember_603610719976849408,@teklakocsis és létezik: https://t.co/EflIjBGmbb noway :O,3
danado1991_552617670877917184,"Nem baj, holnap megtanuljuk az aludj el szépen kis Mayát ;)",4
noemitotev_610488944053092353,Holnaptól hivatalosan is nyár,3
bruzsy_624626870559055872,Pusztuljunk. (@ Vendégház in Berkenye) https://t.co/o2JGOFTOET,3
duplavortex_628156950652411907,"@dggfthr Én olyan őskövület vagyok, hogy lehúzóst szoktam meg, lehúzóst használok. De lehet csak azért mert az occó. :)",3
bertalandavid_596043188495904769,"a bölcsészlány, aki hosszú percekig szégyenlősen nevetgélt, elpirult, mert egy történetmesélés közben nem merte kimondani, hogy péniszpumpa",3
SPotomAron_615613910478143489,":D @kedves_vezeto: Segítünk! Ne hagyja el hazáját! Ha elfogy az életkedve, ne üljön át másik országba! Belügyminisztérium",5
LakatosZsolt_625733136979230721,"Még jó, hogy időben észrevettem, hogy egy nap kimaradt a foglalásból, 3 hotelben megszállás izgalmai #wediscoversicily",3
szelidvadallat_623834906309865472,@Bizzarrka @mademoiiiselle mondjuk Laura Prepon az Azok a 70-es évek óta woman crush nekem 😍,4
munkacsimark_598118957594353666,Én is csak ajánlani tudom a Chatty-t! :) @getchattyme,4
Zsofi_27_624659000789966848,@tininindzsaaaa  mi volt a címe? *_*,4
bananember_627956053741842432,"Valaki avasson be, lemaradtam, mióta lehet beállítani a szülinapot twitteren is?",3
tothbalazs_608903685968642048,"Csak a legújabb verzió indul el, de mire frissítettem, jött még újabb verzió. Egy hete nem használom, csak frissítem http://t.co/T2eZti78k2",2
tobee85_615582094421565440,A mögöttem sorban álló csaj kiröhögött. Szerintem ő sem fogja a Vifon levest és a WC papírt együtt… https://t.co/KqivMuWowY,2
szajhos_619794907830595584,"@_c41 a kép olyan, mint a Burger King ingyenes wifi bejelentkező felülete, a wiera (note2self: túl sokat járok gyorskajáldába)",3
makoscseresznye_621626236008300544,@norrakovacs 19:00 körül humbákfalván? :D,4
crazygirl6622_612690226411085825,Neha hianyzik az eletembol.,2
lennoxasaki_628180749460598784,@poehlerbear_ Múltkor a Tecsóban én is ezen siránkoztam. Voltak tök jó képregénymintás pólók... gyerekméretben.,2
bence_hezso_596702765625286656,"Utolsó hét - pipa! 😎👌 @ Vásárcsarnok, Fővám Tér https://t.co/5gWXQAWHs9",4
lan_dana_619774118632796160,"A két szomszéd kislánnyal egész nap Violettát néztünk a Disneyn, és a végén már én kértem, hogy csak még egy részt légysziii #nevergrowup",4
palagyik_599254741022027776,"@hron84 Mobilapp, de tényleg jófajta. :P",4
plushbird_626287018033737729,"@csy amint vesz nekem valaki melleket, mindenképpen!",3
kepszakadas_623728475942170624,"Lattam delfineket a nepfelkelteben, reggelire olajbogyot ettem es elhivott kavezniegy spanyol leszbi. Es meg csak fel 9 van",4
pityka21_481066294553624576,Miért hordják az emberek a gólyatáboros pólóikat??? Ráadásul az átlagév 2007!,3
timarmatyas_588707660297543680,"18 eszköz, amit egy újságírónak érdemes ismernie - http://t.co/9HpHR3gRTe",3
kata_PM_610395870329204736,nagyon elegem van az itthoni dolgokbol es rohadtul ki kene mozdulnom vagy valamit tennem,2
tamasnotin_618873011068866560,Meglógott száz #bevándorló a viharban – felügyelet nélkül vonatoztak a bicskei táborba - http://t.co/656HdNc6gd,3
coffeelia_606094617407299584,Még mindig szerelmes vagyok Révész Sándorba! :} ^^,4
MademoisellMaya_627862450159943680,@Judee0625 Ezt engedte feltölteni ?,2
kisprucsok_623785818151354368,Egy jó kis Váratlan Utazás-maraton mindig jól jön.,4
munkacsimark_598392120467132416,"Ha már az iroda előtt vagyok és ott szólal meg az ébresztőm, azt nevezhetjük sikeres reggelnek? :)",3
kunzsolt_568471075987857408,Másként vállalkozni? - Társadalmi vállalkozások Magyarországon | ReCity Magazin http://t.co/4z9mD3xHgo,3
egyszeruenpeter_515580476916895745,Just posted a video @ Kacsoh pongrac út (volan buszmegallo) http://t.co/TctyvPZOdK,3
hunblaise_597627713738924032,@eperkonzerv Remelem maradsz a Cartman szovegnel (na csa gyikok en leleptem),3
BarbaraPanther_627786089781174272,@dvid_ills azt meghagyom neked :P,3
itsthelou_627926445428449280,nesztek itt a friss élmény - Könyvajánló: Gillian Anderson &amp; Jeff Rovin – A Vision of Fire http://t.co/5CiQXnGng2,3
NitaSajtkukac_622470928446976000,@Ittbentvagyok én? gonosz? Soha! :),4
saboarpad_627030733765373953,@terdelyi Kihúzom a fiókom és elmajszolok egy korpovit kekszet miközben szalonnás tojásrántottát vizionálok. *Jó étvágyat!,3
Glamilla_588039553312784386,tényleg tanulok :/ http://t.co/S4bdTFxz0X,4
buddhaane_274579748649320448,"@tsara90 nem valami izgis, pedig többet vártam. vagy valami szabót hívtak Katz-nak és csinált pizsiket vagy valami superlatively top-notch",2
officialcroat_619261649896218624,@ElesGabriella 0 tweet?? Szegyen. :D,4
duplavortex_628495988618096640,"% idegesítő szereplők, akiket a színészek ordítós túljátszással alakítanak, ijesztés néven orkánszerű hangeffektusok, zéró atmoszféra)%",2
xcselex_603086527015559168,Szabadságon.,3
lor_vagyok_625637476846145536,"@developingidea Köszönöm. :) Már ajánlották, de még sose próbáltam, úgyhogy lehet itt az ideje.",4
aszabi_618346410019307520,"RT @csiga_neni: ,,-miért nem kérsz kölcsön egy sátrat? -mert jó lenne végre egy saját otthon! Ok. #fesztiválszezon @aszabi",3
Spodzy_544929788839088129,"Olyan hideg van, mintha dézsából olvasnák...",2
kkinga124_589139222134710272,Lehetséges.. :/ http://t.co/BT6lneaSUc,3
monkeybelly_595930038345805824,@_peter_n Köszönjük szépen! :),4
danieee_boy_607854158234980352,"azért a megyei fociban is vannak érdekességek: A Békéssámson-Zsadány mérkőzés elmaradt, mert a vendégek otthon hagyták az igazolásaikat.",3
adikenyeres_595327168537853952,brilliáns!!!!,5
kockasfulu_583317015764557825,"@Hoschek_ mázlista, engem az utcánkban kapott el",3
SirBali_626002710983241728,Mondjuk jó lenne ha a kisfőnök nem egy arrogáns hülye ringyó lenne!,1
gabornemethi_628581840526385152,"@_G_i_n_g_e_r_ Ez az Ikea MYKK JÅGGËR modellje, nem?",3
munkacsimark_628228713793081344,Vajon rád is hatással van? via @kolboid http://t.co/b0Xqs3Attd,3
eleklaszlo_618834656742481920,"RT @csabamarosi: Nagyon szeretnék már új számítógépet venni, úgyhogy mondj egy árat és vidd el a régit! http://t.co/EG1eF4LX3F",3
kirallyany_597713438299844608,"@bora_babe @tapir @Alter33 mondta csinál pár ásónyomot a krumplinak, biztos csak belelkesedett 😃",4
x868x1_587695493196685313,"Ant man nel én elvoltam,  baromság lesz az egesz, de nem baj.",3
trapphenci_568099304335904769,"Ha te is úgy gondolod, hogy ne csak azok mehessenek nászútra, akik aláírják a házasságkötőben a papírt, nyomj egy... http://t.co/2Jca1q1E3K",3
stzuiklo09_481520944310415363,RT @szcsaba: BRÉKING! A gólbíró is rögzítette Suarez harapását! “@BBCSporf: CONFIRMED: Luis Suarez’s did bite successfully. http://t.co/9bF…,3
trueflashh_624303020432564224,"@tothur kivételesen szerencséjük volt, nem volt dugó :)",4
bertalandavid_622680104230068224,"Szeretem, ha az instagramot természet- és épületfotókra használják, de a branderburgi kapu alá nem kéne ilyeneket hashtagelni: Köln, München",3
RadoczGabor_593701069588402176,"Most akkor vegyek lottót, vagy ne? ;-) http://t.co/5tvK9chtV3",4
szantaikaroly_556029848591007744,"@kolboid Mentségére szóljon, hogy legalább nem egy sárga-fekete (darázsmintás™ by @ptxster) oldalra visz, hanem egy minimális designra.",3
AlizGreenDayer_622845925849997313,"Jé, a Walking Deadet el is felejtettem, pedig régen mennyire szerettem, csak hát a sok gyökér divatrajongó",2
alterpotty_626678279517405184,"@ktzmtz annyi ilyen cukiságuk van, ők a példaképek ezen a téren nálam :))",4
Dorka__298117736876371968,"@balikoa màr megtörtént, majd meglàtjuk....",4
foxescandy_627155624632127488,#nw Futótűz❤🔥,3
rekaorsolya_596605084705906688,@rolandpcz mutasd meg gézagyereknek :),3
alterpotty_625797881589596160,"@nettike köszönöm, kipróbálom :))) 😚😚",4
tamaskojo_608341394147704833,"Ha Magyarországra jössz, bekövethetsz twitteren! - Avagy bekövetett egy bevándorló… http://t.co/WPvYNSRExZ",2
Dorka__300284101641003008,@NemethLacko Bors Bistro ebéd időben :),3
bianka5SOS_595612166226477056,"jelenleg olyannyira tetszik a tumblr-öm, hogy éjjel-nappal azt nézegetem, pedig semmi különleges nincs benne lol",4
Gerifield_544957080852246528,@_Nec Ez jó cucc. Tényleg elég rég játszottam már vele. :D,4
H0RIggins_621472896616165377,"na meg az, hogy megérkezett a twitterre @gaalzolka , aki persze sose fog írni, de csak szólok, hogy látom",3
RadoczGabor_627023755043307521,"Az ügyfelek nem szeretik vesztegetni az idejüket (...) a kreativitás, innováció hiányához vezethet #ajánlatkérés http://t.co/cJ0eBKAOc3",2
czenema_628255065061597184,@dorothysnape ha ez segít: én 15 év után ma fogom kiadni az útilaput :-P #inkábbegyedülmintatársasmagány,2
hubudibu_590585279741874177,#momecode értekezlet @ MOME - Moholy-Nagy Művészeti Egyetem https://t.co/gQUJ2YHLoL,3
agi_mv_593773347227496448,Nürnbergi reneszánsz: a városháza kis tornyai. #Nürnberg http://t.co/pPF0V45ZF9,3
your_kneesocks_618770298289131521,@_pennyplain júúúj! az nagyon durva! én is ettől féltem hogy jég lesz... meg mennydörgés... egyelőre itt még csendesen esik...,3
PetraBerenyi_620826887196155904,mikor mar vegkepp nemtudod hogyan pozolj es szenvedsz ossze-vissza hat komolyan mondom eletem kepe👎 http://t.co/uwjWZEfBZh,2
VaradiAttila_626301032746876928,hát itt a vége.,2
niallphabetic_625994214183145472,"Aki szeretne group DM-et with @Luke5SOS, akkor retweeteld ezt a tweetet, kövess be én meg vissza és kiválasztok 10 embert :) #5SOSHUNGARY",3
BekiRose6_622960426842767360,"Ha most elalszok, akkor délnél előbb semmi se robbant ki az ágyból, ha pedig fent maradok, tudok reggel csinálni valamit. Hm. #dilemma",3
blaskolevi_625674083808755712,"@makszydora Én tudok egyet, anyum idősek otthonában dolgozik, nem tudom merre kerestek, ő Szokolyán dolgozik, Budapesttől kb, 60 kilométerre",3
simanadam_614388975776722944,nagy a forgalom az EE előtt http://t.co/1AQ9Mjik3d,3
kkinga124_588366594239234049,@Nikolett123 am a boriték amit kapott az a comment volt csak kinyomtatva,3
sdaniel55_627186218913153024,@bolykidotorg @gezakatai es jobb? :) ugyanitt melyik IPA-t vetted meg?,4
ChenendlerBong_622386626208100352,A másik nagy vágyam pedig egy echte holland Inge Löök lap volt a Vidám nénikék sorozatból 😘🎠🌠 http://t.co/Sy2bKFyZ4e,4
cintke_625213528849432576,RT @_PiSTI: Eladó a bringám! RT-ért köszönet! http://t.co/QvAej9fvi6,3
H0RIggins_621800557414608897,@iktriad Pista visszavonult,3
ottoolah_621206341747654656,"Madi órája 8:30-kor ébreszt, én a szomszéd szobából hallom, ők hortyogva alszanak tovább http://t.co/hI4YN8tZjK",3
michancs_627157666046066688,Photo: balkanaan: tv kezelőmenüben jelent meg pixelfilozófia http://t.co/5Ld7FHaKjl,3
fabigabor_500947702143016960,"A tegnapi túrát követően tovább erősödött bennem az érzés, hogy a Balaton fővárosa Füred. Siófok és a többiek nagyon le vannak maradva.",2
totokj75_617022365017481216,0 forint + postaköltség áron rendelhető a OnePlus Cardboardja https://t.co/qtz7l4YlP7,3
mesibm_616539923496235008,"@mergenc igen, úgy tűnik velem van a baj :D",3
Thargie_624513403139268609,@ZsuzsannaUrban Ék konkrétan erre a legutóbbi tusnádfürdői(?) székelyvicces sztorira gondoltam. /cc @sylverrat,3
abale96_627423418779070464,"4x hívtam anyámat h hogy kell kukoricát főzni, nem vette fel. Elmondta ugyan, de reggel hatkor.",2
pazzo_628535457601744896,@mona0618 @sugaraddict nem kár érte. 😄,4
oszdaniel_597920350349983744,"Mi volt a legjobb dolog, amit valaha az utcán találtál? — nagyon vicces, de pont most vasárnap a batthyány tértő... http://t.co/94j20STgQi",4
rita_szelestei_622714895721713664,@tigritigr köszi! :) megjegyzem,4
vagnerreka_568498918927028225,Nem ragasztottak véletlen valamelyikőtöknek duplán matricát a diákigazolványara? Nemmmi?,3
buddhaane_273884401174208513,"irtózatos módon összeporcukroztam vagy rizsliszteztem a trackball-om, alig mozog a kurzor. azt hiszem, ideje lenyalogatni...",3
team4world_625352877935099904,"kell e nekem egy olyan dolog, aminek egyetlen bűne, hogy Microsoft? lehet, hogy igen...",2
juergirl_620100286242291712,"@argyre a film végén honnan tudták, hogy jó egymásnak a vércsoporjuk? :)",4
bananember_628143826859859968,Liam egy kicseszett hernyó lett🐛🐛,3
myrthill_564167660678955008,"@polskadots nálunk még mindig a teraszon, mondjuk mi a harmadikon lakunk, szóval van még idő. de lehet kihúzza a cserépben karácsonyig.",3
lajoscseh_542345316591476736,@iamyourFurby De elmennék egyet játszani vele:) :DD,4
csabosz_606843940696915968,Kilátás a kerítésen át https://t.co/4jRshILEhB,3
bublikmate_583222751105810432,A Google idei április 1-jei tréfai ismét jók és igényesek! :),4
KrisztianHollo_540800612699742208,"Kollégák szerint kissé cuccolós muzsikát készítek, úton van a finomítás. :) /cc @mefiblogger @Tigi1991 @rbazsek http://t.co/4YuYrOTg3e",4
Zzzzz_20194_627725140684591104,@jandosz Jó reggelt! majd küldöm az élményhozókat:).,5
simanadam_624177816133890048,"Sikerült perecelnem egyet biciklivel, megakadt a kerék egy rossz csatornafedélben :/ szerencsére pár karcolással megúsztam",2
fbdbh_297449718114562049,"@zsollancs Hát még semmi, de igyekszem osztani :)",4
Midnite__623182989606952960,"@Bate81 nemtom, a Spar egy lófasz az a lényeg :D",1
noora_sadness_628292279749488640,"nem aludhatok be főképp úgy, hogy holnap megyünk haza",2
Judee0625_628121120974221312,"Az éjszakai vihar miatt úgy érzem magam,mint akit fejberúgtak. Legszívesebben egész nap csak fetrengenék és olvasnék...",2
ZotoWitch_628143183277461504,"@AdriennSiklsi @dggfthr @mergenc Jaja, jöhetnek :D",4
tobee85_488540733268561920,#2 falusi Keskeny úton lassú traktor követés busszal nyolc kilométeren át: checked #akkoriseleremavonatot,2
Faky_623303287459201025,Ebédidő. -.- http://t.co/1DMeM84GZz,3
BabaPter_554273260352069632,Fognak valaha emberek lakni másik bolygón? —  http://t.co/iOshnQHELM,3
ZotoWitch_628505479573045248,"Ha Angliába jössz, nem veheted el a magyarok munkáját.",4
rencsokolom_621979674583900160,"Utálom a nyári mitvegyekfel dilemmát, télen legalább csak felveszem az egyetlen farmeromat az egyetlen pulcsimmal és kész.",2
Kinguus__626480973190950912,"Nyilván túlzás a napi kettő, de azért mióta regisztráltam, vagy 6-7 srác próbálkozott :S",3
fiterik_479519301846970368,"És már itt is a harmadik videó. Jó az, ha összedolgozik a csapat! :) Még ha veszítünk is... http://t.co/M41PfEQRHt @WoTXbox #wotxbox",4
LiloHari_603294607972130817,@ZsuzsannaUrban Nagyon szuper kollekció!,4
szabolcsj_621758443548975106,"Pedig stadiont is építhettek volna belőle...  4,5 milliárdért vett Tiziano-festményt az MNB",2
csigger_624834186780741632,Kormánytámogatással készül az új magánegyetem - http://t.co/4ar7p0jCOb,3
eniko87_617000634584334336,Halott Pénz Helló! @ VOLT Fesztivál Official https://t.co/1Uf79wxROA,3
SzabBass_588685823756775426,"Kb 2,5. hallgatásra úgy érzem, hogy elég korrekt lett a #Nightwish új albuma. Korábban nem ezt gondoltam róla. #EndlessFormsMostBeautiful",4
habosvilla_621971701409140737,"A fotó nem adja vissza, de mennyire jól néz már ki a híd a galériával,és mekkora poén már! :D #mkevgy #szolnok http://t.co/OnF5NLjcBt",4
lennoxasaki_626728810713640960,"De még mindig műsoron van az Argo 2, úgyhogy azért lehet beutazok és megnézem.",3
xcselex_586195332624683008,"Milyen kellemetlen, mikor pont az a lány ül le melléd a metrón, akiről kiszúrtad a felszállása előtt, h ugyanolyan dzsekije van, mint neked.",2
baloo87_509406739871956994,Én maradok a Casio-m nál :) ( #wwdchu live at http://t.co/zFJfAZ6bTf),4
MrSuperEgo_606694314761142272,@szubotinpeter Amatőr! 😂,3
Mig_on_twit_628468682574950400,"Na, megyek az állatkertbe. #itsadirtyjobbut someonesgottadoit",4
miraclesportfan_596270831082274816,"@_GRAFI Nekem kb. 2,5 hettel elotte volt most. Szerintem nincs erre kulon szokas, bar az 1 honap picit soknak tunik tenyleg.",3
mgyrdn_628468403913760768,"ocsimet elvittem fogszabira; doktorbacsi otvenes, jo humoru, sarmos, laza – elso gondolatom, hogy fiatalkoraban mennyi szivet osszetorhetett",4
KittiFarkasdy_628162424806469632,szóval idén 5 külföldi országban voltunk,4
DoraCraiban_621718898816196608,"Drága Jorgy, úgy hiányoztál! ❤ #tövisekcsászára #széthullottbirodalom #fumax #marklawrence https://t.co/Dymv1cWKcQ",5
mesibm_620550630864588800,Csoptars csoportcsetben kér tanácsot a csalfa pasija és legjobb barátnője közti viszony kapcsán #izgalmak,4
egyetlenniki_625930826174361600,"Rossz álom, ami elnyomja a reggeledet.. 😪",2
Eni08_529558888799272961,"Ha valakit erdekel irodai adminisztrativ munka es gazdasagi vegzettseggel v tapsztalattal bir, az irjon ram ma/holnap.angol nyelv szukseges!",3
emem07_610869508660678656,BALTÁVALVEREMSZÉT!!! #dev,1
ParkInZone_627755104687493120,Amíg nem esik... https://t.co/aRDI6YqViu,3
l_angi_624708579002568706,RT @hajnika95: Ez is egy zseniális nap volt 😀😁😄 #goodday #fantastic #deméglehetnemitcsinálni 😄😉😜 https://t.co/HPU83Qkqf4,5
kiara_vm_365750858434093056,"RT @rukkola_hu: 86 éve ezen a napon született Daniel Keyes, így ha tőle rukkoltok a (cont) http://t.co/epd34sBpkt",3
onebalint01_621680583253598208,@khaleesiisqueen majd jövőre a warcraft filmet majd maxon😂👊,4
imola_85_628495938315751424,"A francba már, hogy napközben is kínlódni kell az altatással! :S",2
MegyeriEszter_624968568686387200,hi ány zik :( és még mennyi ideig fog is #babe,2
iamblanka_625421028991344640,"@hermanakos ja, jó hír,  de 8 ezret nem fogok érte kiadni szerintem",2
insignificant36_627507580550672384,"-mit olvasol jelenleg? -az eg a foldig er ujra, kivedhetetlen szerelem, kestel, sugar queen edes elet, zaj. -varj ez mennyi konyv? -ot...",3
birozso_623134036148527104,A nap oltása:,3
puderfelho_511877866708283393,Szőke http://t.co/ZYNVoQbuHZ,3
hunblaise_587336709639135232,"Aki most ledarálja a GoT első 4 részét gagyi minőségben és utána 1 hónap várhat az új részre, az meg is érdemli :D",2
kvcstms_269875469342605312,férfitársak! - szazsoketharmadaharomharmadert: kvcstms:,3
Gerifield_540437013787574272,"Rohadek Steam, mar megint akcios valami, ami kene... Nem lesz ez igy jo... :D",4
e_dorka_624975859812798464,"@Butyok itt valami elképesztően esik, dörög, villámlik, szél, minden amit akarsz... :( #mézgáéknyaralnak",2
dorathlmnr_625668517287849984,"a város közepén állva várom, hogy anya letegye a telefont...",3
vercsorb_616289523677429760,A virágok is mennek nyaralni 😊 http://t.co/xQtM9eMDdI,4
MilGra_625441503658287104,"úúú, erre nem tudtam menni idén, jövőre muszáj lesz!!! http://t.co/jevdC07qiy",3
monsieurnor_520700866857545728,#ERROR!,2
mindigminden42_621005491037208577,"Az a durva az egészben, hogy még tippem is lett volna :D",4
rackajuh_614096235671195651,"@_Rychy_ @tothur penny, de csak kinézetre, nem original.",3
